address,price
"1305 S Shoshone St Boise, ID 83705","$2,295 /mo"
"1915 S Vista Ave Boise, ID 83705","$1,095"
"919 E Boise Ave Boise, ID 83706","$2,644 /mo"
"4385 N Ginzel St Boise, ID 83703","$2,795 /mo"
"10050 W Shelborne Dr Boise, ID 83709","$1,895 /mo"
"6672 W Winston Ln Boise, ID 83704","$1,295"
"2015 N Phillippi St Boise, ID 83706","$2,500 /mo"
"7773 W Crestwood Dr Boise, ID 83704","$2,500 /mo"
"2714 Kathryn St Boise, ID 83705","$1,750 /mo"
"4653 W Pasadena Ln Boise, ID 83705","$1,350"
"6680 Irving St W Boise, ID 83704","$1,395"
"5910 Flamingo Dr Boise, ID 83704","$2,300 /mo"
"5573 E Hootowl Dr Boise, ID 83716","$8,500 /mo"
"1312 Juanita St Boise, ID 83706","$1,995 /mo"
"13903 W Rochester Dr Boise, ID 83713","$2,500 /mo"
"4823 N Mitchell St Boise, ID 83704","$2,850 /mo"
"4835 N Mitchell St Boise, ID 83704","$2,850 /mo"
"3451 S Upper Fork Way Boise, ID 83709","$2,250 /mo"
"1134 N Camelot Dr Boise, ID 83704","$1,700 /mo"
"419 W Hale St Boise, ID 83706","$2,450 /mo"
"8074 S Snow Bird Ave Boise, ID 83716","$2,150 /mo"
"6402 Bermuda Dr Boise, ID 83709","$2,200 /mo"
"11811 Clover Field Ln Boise, ID 83713","$1,350 /mo"
"3534 E Grand Forest Dr Boise, ID 83716","$1,725"
"834 S Capitola Way Boise, ID 83712","$3,095 /mo"
"2203 S Amy Ave Boise, ID 83706","$1,800 /mo"
"1210 S Longmont Ave Boise, ID 83706","$1,250 /mo"
"6017 N Masago Ave Boise, ID 83714","$1,950 /mo"
"4820 Albion St Boise, ID 83705","$1,900 /mo"
"10246 Hollandale Dr Ct W Boise, ID 83709","$2,850 /mo"
"228 N Latah St Boise, ID 83706","$1,295"
"6007 S Kelso Way Boise, ID 83709","$2,000 /mo"
"3064 E Nature Dr Boise, ID 83706","$2,995 /mo"
"2902 Agate St Boise, ID 83705","$1,695 /mo"
"11070 W Hydrangea St Boise, ID 83709","$1,995 /mo"
"5446 S Zonetailed Way Boise, ID 83716","$3,000 /mo"
"5415 N Noble Fir Ave Boise, ID 83713","$2,300 /mo"
"7552 W Havana Dr Boise, ID 83709","$2,500 /mo"
"2607 N Lancaster Dr Boise, ID 83702","$1,550"
"4767 N Morninggale Dr Boise, ID 83713","$1,425 /mo"
"5801 W Grunder Dr Boise, ID 83709","$2,495 /mo"
"3860 S Preamble Pl Boise, ID 83706","$2,100 /mo"
"808 W Ridenbaugh St Boise, ID 83702","$1,600 /mo"
"916 N 32nd St Boise, ID 83702","$1,800"
"9778 W Linstock Ln Boise, ID 83704","$2,150 /mo"
"916 N 32nd St Boise, ID 83702","$1,800"
"5438 S Paintbrush Pl Boise, ID 83716","$1,995 /mo"
"3128 E Anemone Ct Boise, ID 83716","$2,000 /mo"
"1436 N Allumbaugh St Boise, ID 83704","$1,495"
"11315 W Kuhnen Dr Boise, ID 83709","$2,100 /mo"
"5559 S Caper Pl Boise, ID 83716","$2,100"
"426 Pueblo St Boise, ID 83702","$2,700 /mo"
"4806 S Silverhills Ave Boise, ID 83709","$2,395 /mo"
"824 N Allumbaugh St Boise, ID 83704","$2,488 /mo"
"2460 S Ormond St Boise, ID 83705","$2,200 /mo"
"2333 Ellis Ave Boise, ID 83702","$2,525 /mo"
"11310 W Knightsbridge Ct Boise, ID 83713","$1,825"
"11214 Race St Boise, ID 83713","$2,000 /mo"
"852 N Benjamin Ln Boise, ID 83704","$1,395"
"2013 N 27th St Boise, ID 83702","$2,795 /mo"
"1004 N 13th St Boise, ID 83702","$2,650 /mo"
"6082 S Rising Sun Way Boise, ID 83709","$1,995"
"4617 N Carlsbad Way Boise, ID 83703","$1,895"
"1919 S Orchard St Boise, ID 83705","$1,850 /mo"
"4617 N Carlsbad Way Boise, ID 83703","$1,895"
"6082 S Rising Sun Way Boise, ID 83709","$1,995"
"11354 W Knightsbridge Ct Boise, ID 83713","$1,825 /mo"
"1212 S Arcadia St Boise, ID 83705","$3,200 /mo"
"1302 E Oakridge Dr Boise, ID 83716","$1,700 /mo"
"2803 Dill Dr Boise, ID 83705","$2,000 /mo"
"11362 W Knightsbridge Ct Boise, ID 83713","$1,825"
"1935 S Vista Ave Boise, ID 83705","$1,045"
"6428 S Mistyglen Ave Boise, ID 83709","$2,400 /mo"
"6009 S Manzanita Ave Boise, ID 83709","$1,950 /mo"
"8880 W Shellie Ln Boise, ID 83704","$1,395 /mo"
"8615 W Sloan St Boise, ID 83714","$1,995 /mo"
"3785 E Parkcenter Blvd Boise, ID 83716","$2,695 /mo"
"5068 West Targee St. Boise, ID 83705","$2,495 /mo"
"3311 N Lakeharbor Ln Boise, ID 83703","$1,850 /mo"
"1404 E Franklin St Boise, ID 83712","$4,000 /mo"
"2666 Reno Way Boise, ID 83704","$1,895 /mo"
"6677 W Colehaven Dr Boise, ID 83704","$1,395"
"1933 S Vista Ave Boise, ID 83705","$1,045"
"1917 N 33rd St Boise, ID 83703","$2,600 /mo"
"9192 W Shelterwood Dr Boise, ID 83709","$2,300 /mo"
"6050 N Masago Ave Boise, ID 83714","$1,825 /mo"
"6652 Irving St W Boise, ID 83704","$1,395"
"6716 Irving St W Boise, ID 83704","$1,395"
"6766 W Colehaven Dr Boise, ID 83704","$1,395"
"4771 N Morninggale Dr Boise, ID 83713","$1,495 /mo"
"6684 W Winston Ln Boise, ID 83704","$1,395"
"6687 W Winston Ln Boise, ID 83704","$1,395"
"2675 N Woodview Pl Boise, ID 83702","$7,500 /mo"
"1409 N 13th St Boise, ID 83702","$1,750 /mo"
"5484 W Grover St Boise, ID 83705","$1,875 /mo"
"4948 Willow Ln Boise, ID 83703","$2,970 /mo"
"6682 W Colehaven Dr Boise, ID 83704","$1,395"
"6056 N Masago Ave Boise, ID 83714","$1,880 /mo"
"1628 Reinhart Dr Boise, ID 83706","$1,500 /mo"
"6536 Robertson Dr Boise, ID 83709","$2,500 /mo"
"2341 E Tiger Lily Dr Boise, ID 83716","$2,200 /mo"
"2116 S Pacific St Boise, ID 83705","$1,995 /mo"
"5603 S Loughs Way Boise, ID 83709","$1,900 /mo"
"1890 N Shamrock Ave Boise, ID 83713","$1,825 /mo"
"1874 N Shamrock Ave Boise, ID 83713","$1,825 /mo"
"1866 N Shamrock Ave Boise, ID 83713","$1,825 /mo"
"6062 N Masago Ave Boise, ID 83714","$1,950 /mo"
"10730 Seneca Dr Boise, ID 83709","$2,350 /mo"
"7914 S Fox Tail Way Boise, ID 83709","$2,100 /mo"
"1718 W Jefferson St Boise, ID 83702","$2,600 /mo"
"3036 N Network Ln Boise, ID 83704","$2,175"
"3597 S Heritage Ave Boise, ID 83709","$2,450 /mo"
"1414 N 14th St Boise, ID 83702","$2,400 /mo"
"2000 N 28th St Boise, ID 83703","$2,250 /mo"
"9513 W Ramsgate Dr Boise, ID 83704","$1,550 /mo"
"4795 N Morninggale Dr Boise, ID 83713","$1,495"
"11046 W Hydrangea St Boise, ID 83709","$1,995 /mo"
"11058 W Hydrangea St Boise, ID 83709","$1,850 /mo"
"4105 W Deerpath Dr Boise, ID 83714","$4,000 /mo"
"5308 W Malad Boise, ID 83705","$2,700 /mo"
"4802 S Rawhide Ave Boise, ID 83709","$1,795 /mo"
"474 E Chester Ln Boise, ID 83706","$1,000 /mo"
"2393 Wildwood St Boise, ID 83713","$2,000 /mo"
"2920 S Raindrop Dr Boise, ID 83706","$1,995"
"1858 N Shamrock Ave Boise, ID 83713","$1,875"
"6787 Irving St W Boise, ID 83704","$1,195"
"2111 Brittany Ln Boise, ID 83702","$1,700"
"325 Franklin Park Dr Boise, ID 83709","$1,895 /mo"
"1910 W Jefferson St Boise, ID 83702","$2,500 /mo"
"6523 S Covewood Way Boise, ID 83709","$1,982 /mo"
"1882 N Shamrock Ave Boise, ID 83713","$1,875"
"1605 N 5th St Boise, ID 83702","$1,750 /mo"
"604 N Walnut St Boise, ID 83712","$2,500 /mo"
"1318 N Dawn Pl Boise, ID 83713","$1,795 /mo"
"9403 W Edna St Boise, ID 83704","$2,300"
"12534 W Oneida St Boise, ID 83709","$2,300 /mo"
