address,price
"535 W 23rd St New York, NY 10011","$5,840"
"150 E 57th St New York, NY 10022","$9,000"
"60 W 66th St New York, NY 10023","$6,270"
"245 E 40th St New York, NY 10016","$5,400"
"110 E 59th St New York, NY 10022","$7,320"
"635 W 42nd St New York, NY 10036","$6,572"
"145 4th Ave New York, NY 10003","$7,040"
"635 W 42nd St New York, NY 10036","$6,404"
"240 E 27th St New York, NY 10016","$5,380"
"521 E 72nd St New York, NY 10021","$9,700"
"522 W 161st St New York, NY 10032","$2,650"
"1 Union Sq New York, NY 10003","$7,800"
"2159 5th Ave New York, NY 10037","$2,499"
"101 West End Ave New York, NY 10023","$4,254"
"229 Chrystie St New York, NY 10002","$4,486"
"77 W 24th St New York, NY 10010","$5,821"
"235 W 48th St New York, NY 10036","$5,770"
"70 W 45th St New York, NY 10036","$6,188"
"179 E 105th St New York, NY 10029","$3,295"
"146 Mulberry St New York, NY 10013","$5,580"
"520 2nd Ave New York, NY 10016","$7,200"
"1049 5th Ave New York, NY 10028","$15,000"
"400 Chambers St New York, NY 10282","$10,690"
"156 William St New York, NY 10038",Call for Rent
"110 E 60th St New York, NY 10022",Call for Rent
"208 E 20th St New York, NY 10003","$14,500"
"121 E 60th St New York, NY 10022","$4,950 /mo"
"16 E 98th St New York, NY 10029","$4,400"
"18-20 Pine St New York, NY 10005","$12,000"
"1 Union Square South New York, NY 10003","$7,840"
"229 1st Ave. New York, NY 10003","$4,710"
"105 Duane St New York, NY 10007","$10,530"
"77 W 24th St New York, NY 10010","$9,454"
"96 5th Ave New York, NY 10011","$5,500"
"983 Park Ave New York, NY 10028","$9,456"
"400 Chambers St New York, NY 10282","$7,700"
"35 Central Park N New York, NY 10026","$12,300"
"35 Central Park N New York, NY 10026","$6,100"
"165 E 89th St New York, NY 10128","$3,000"
"228 Bleecker St New York, NY 10014","$3,800"
"629 E 5th St New York, NY 10009","$5,975"
"108 W 119th St New York, NY 10026","$1,250"
"509 E 87th St New York, NY 10128","$1,650"
"336 W 47th St New York, NY 10036","$1,650"
"518 E 83rd St New York, NY 10028","$3,300"
"285 St Nicholas Ave New York, NY 10027","$1,375"
"15 W 107th St New York, NY 10025","$1,450"
"355 E 4th St New York, NY 10009","$1,675"
"534 E 14th St New York, NY 10009","$2,575"
"208 E 95th St New York, NY 10128","$1,650"
"310 W 137th St New York, NY 10030","$3,425"
"826 9th Ave New York, NY 10019","$3,375"
"20 Avenue A New York, NY 10009","$3,750"
"342 Manhattan Ave New York, NY 10026","$1,350"
"611 E 11th St New York, NY 10009","$1,900"
"184 Claremont Ave New York, NY 10027","$1,450"
"133 Avenue D New York, NY 10009","$1,450"
"160 E 48th St New York, NY 10017","$8,920"
"240 E 27th St New York, NY 10016","$5,760"
"66 9th Ave New York, NY 10011","$32,000 /mo"
"250 Mulberry St New York, NY 10012","$4,495"
"48 Bedford St New York, NY 10014","$4,850"
"99 Suffolk St New York, NY 10002","$4,750"
"53 Leroy St New York, NY 10014","$5,720"
"160 Riverside Blvd New York, NY 10069","$5,280"
"354 Broadway New York, NY 10013","$24,990 /mo"
"145 Mulberry St New York, NY 10013","$3,000"
"521 W 48th St New York, NY 10036","$4,700"
"279 E 44th St New York, NY 10017","$9,600"
"180 Riverside Blvd New York, NY 10069","$5,400"
"432 Park Ave New York, NY 10022","$70,000"
"1600 Broadway New York, NY 10019","$6,600"
"66 Hamilton Terrace New York, NY 10031","$4,395"
"30 Central Park S New York, NY 10019","$14,000"
"39 Jane St New York, NY 10014","$7,995"
"407 W 51st St New York, NY 10019","$2,900"
"165 E 89th St New York, NY 10128","$3,000"
"138 Bowery New York, NY 10013","$3,200"
"433 W 53rd St New York, NY 10019","$3,000"
"145 W 58th St New York, NY 10019","$5,380"
"433 W 53rd St New York, NY 10019","$4,500"
"626 10th Ave New York, NY 10036","$5,000"
"5 W 107th St New York, NY 10025","$4,750"
"324 E 116th St New York, NY 10029","$2,466"
"324 E 116th St New York, NY 10029","$3,500"
"324 E 116th St New York, NY 10029","$3,500"
"305 E 63rd St New York, NY 10065","$17,900"
"779 Riverside Dr New York, NY 10032","$2,500"
"30 Park Ave New York, NY 10016","$10,000"
"145 Mulberry St New York, NY 10013","$3,950"
"243 E Broadway New York, NY 10002","$1,850"
"961 Columbus Ave New York, NY 10025","$2,325"
"961 Columbus Ave New York, NY 10025","$2,350"
"1134 1st Ave. New York, NY 10065","$5,500"
"255 W 94th St New York, NY 10025","$6,190"
"214 E 25th St New York, NY 10010","$4,350"
"60 Lispenard St New York, NY 10013","$24,000"
"1134 1st Ave. New York, NY 10065","$3,500"
"802 9th Ave New York, NY 10019","$10,974"
"100 Riverside Blvd New York, NY 10069","$7,750"
"189 W 89th St New York, NY 10024","$4,750"
"189 W 89th St New York, NY 10024","$5,000"
"243 E Broadway New York, NY 10002","$1,300"
"175 E 96th St New York, NY 10128","$5,500"
"175 E 96th St New York, NY 10128","$5,500"
"210 W 17th St New York, NY 10011","$4,500"
"210 W 17th St New York, NY 10011","$5,000"
"405 E 56th St New York, NY 10022","$3,100"
"210 W 17th St New York, NY 10011","$4,500"
"101 Warren St New York, NY 10007","$34,000"
"209 W 109th St New York, NY 10025","$1,600"
"336 W 46th St New York, NY 10036","$2,975"
"3 W 137th St New York, NY 10037","$4,500"
"309 5th Ave New York, NY 10016","$7,190"
"3157 Broadway New York, NY 10027","$3,250"
"51 Leroy St New York, NY 10014","$5,830"
"252 South St New York, NY 10002","$4,250"
"100 W 93rd St New York, NY 10025","$3,500"
"6 Stone St New York, NY 10004","$8,330"
"511 W 169th St New York, NY 10032","$2,246"
"511 W 169th St New York, NY 10032","$2,250"
"200 W 58th St New York, NY 10019","$7,900"
"175 E 96th St New York, NY 10128","$6,500"
"788 Columbus Ave New York, NY 10025","$6,000"
"40 Broad St New York, NY 10004","$8,000"
"455 W 19th St New York, NY 10011","$11,950"
"493 2nd Ave New York, NY 10016","$5,100"
"200 E 16th St New York, NY 10003","$12,000"
"35 Market St New York, NY 10002","$3,000"
"279 E 44th St New York, NY 10017","$5,040"
"330 E 49th St New York, NY 10017","$7,950"
"412 W 36th St. New York, NY 10018","$5,900"
"271 W 47th St New York, NY 10036","$5,500"
"210 E 68th St New York, NY 10065","$17,250"
"230 W 55th St New York, NY 10019","$5,500"
"230 W 55th St New York, NY 10019","$5,500"
"401 E 34th St New York, NY 10016","$5,500"
"401 E 34th St New York, NY 10016","$5,500"
"285 W 110th St New York, NY 10026","$16,000"
"95 Wall St New York, NY 10005","$7,800"
"245 7th Ave New York, NY 10001","$12,500 /mo"
"263 9th Ave New York, NY 10001","$8,495"
"808 Columbus Ave New York, NY 10025","$6,500"
"784 Columbus Ave New York, NY 10025","$5,000"
"225 E 63rd St New York, NY 10065","$5,800"
"401 E 34th St New York, NY 10016","$5,500"
"225 E 63rd St New York, NY 10065","$4,800"
"271 W 47th St New York, NY 10036","$5,500"
"305 E 63rd St New York, NY 10065","$7,700"
"230 W 55th St New York, NY 10019","$4,500"
"45 E 89th St New York, NY 10128","$8,990"
"209 W 109th St New York, NY 10025","$1,625"
"446 W 38th St New York, NY 10018","$7,000"
"543 W 142nd St New York, NY 10031","$2,600"
"20 Beekman Pl New York, NY 10022","$5,000"
"145 E 48th St New York, NY 10017","$3,800"
"101 E 10th St New York, NY 10003","$6,230"
"95 Chambers St New York, NY 10007","$12,000"
"140 E 40th St New York, NY 10016","$5,250"
"96 5th Ave New York, NY 10011","$5,750"
"212 E 12th St New York, NY 10003","$8,200"
"212 E 12th St New York, NY 10003","$6,000"
"212 E 12th St New York, NY 10003","$6,500"
"116 W 118th St New York, NY 10026","$10,000"
"116 W 118th St New York, NY 10026","$3,000"
"213 W 135th St New York, NY 10030","$2,950"
"305 E 40th St New York, NY 10016","$3,000"
"90 Washington St New York, NY 10006","$3,475"
"3620 Broadway New York, NY 10031","$4,400"
"208 W 30th St New York, NY 10001","$10,000"
"336 E 18th St New York, NY 10003","$6,280"
"412 W 36th St. New York, NY 10018","$5,375"
"90 Washington St New York, NY 10006","$3,475"
"1 Central Park S New York, NY 10019","$39,990"
"99 Allen St New York, NY 10002","$4,400"
"1526 St Nicholas Ave New York, NY 10033","$3,995"
"20 E 88th St New York, NY 10128","$2,995"
"20 Avenue A New York, NY 10009","$3,225"
"26 Grove St New York, NY 10014","$4,950"
"600 W 178th St New York, NY 10033","$2,900"
"257 E 61st St New York, NY 10065","$2,200"
"217 E 31st St New York, NY 10016","$8,500"
"100 Riverside Dr New York, NY 10024","$12,500"
"15 W 53rd St New York, NY 10019","$60,000"
"81 Orchard St New York, NY 10002","$4,195"
"630 1st Ave. New York, NY 10016","$5,300"
"252 W 76th St New York, NY 10023","$4,875"
"269 W 12th St New York, NY 10014","$4,995"
"345 W 145th St New York, NY 10031","$1,695"
"541 E 20th St New York, NY 10010","$6,000"
"223 E 96th St New York, NY 10128","$4,200"
"382 Central Park West New York, NY 10025","$3,100"
"392 Central Park West New York, NY 10025","$2,800"
"742 St Nicholas Ave New York, NY 10031","$3,400"
"225 W 23rd St New York, NY 10011","$3,500"
"270 W 139th St New York, NY 10030","$2,175"
"1800 Adam Clayton Powell Jr Blvd New York, NY 10026","$6,500"
"413 E 70th St New York, NY 10021","$2,350"
"328 E 94th St New York, NY 10128","$2,750"
"130 William St New York, NY 10038","$13,250"
"606 W 148th St New York, NY 10031","$1,075"
"90 Washington St New York, NY 10006","$3,325"
"219 W 81st St New York, NY 10024","$4,000 /mo"
"142 W 72nd St New York, NY 10023","$2,995"
"145 W 78th St New York, NY 10024","$3,000 /mo"
"200 W 93rd St New York, NY 10025","$4,995 /mo"
"2790 Broadway New York, NY 10025","$1,850"
"14 West 4th Street New York, NY 10012","$7,800"
"188 E 93rd St New York, NY 10128","$2,195"
"15 W 53rd St New York, NY 10019","$5,000"
"20 Beekman Pl New York, NY 10022","$3,200"
"1486 Amsterdam Ave New York, NY 10031","$2,750"
"235 E 3rd St New York, NY 10009","$7,075"
"322 W 57th St New York, NY 10019","$8,950"
"305 W 123rd St New York, NY 10027","$2,500"
"7 W 21st St New York, NY 10010","$6,191"
"470 2nd Ave New York, NY 10016","$5,515"
"391 Broadway New York, NY 10013","$25,000"
"136 E 55th St New York, NY 10022","$5,300"
"5 Tudor City Pl New York, NY 10017","$2,550"
"150 W 51st St New York, NY 10019","$3,750"
"300 E 57th St New York, NY 10022","$8,100"
"40 W 86th St New York, NY 10024","$5,250"
"144 W 86th St New York, NY 10024","$13,750"
"295 Central Park West New York, NY 10024","$6,200"
"144 W 86th St New York, NY 10024","$6,550"
"241 Central Park West New York, NY 10024","$19,000"
"136 E 55th St New York, NY 10022","$5,700"
"295 Central Park West New York, NY 10024","$4,600"
"241 Central Park West New York, NY 10024","$15,250"
"315 W 77th St New York, NY 10024","$2,300"
"263 W 70th St New York, NY 10023","$2,625"
"160 E 48th St New York, NY 10017","$7,425"
"2 St Nicholas Terrace New York, NY 10027","$4,179"
"45 W 76th St New York, NY 10023","$3,400"
"22 W 77th St New York, NY 10024","$2,350"
"322 E 81st St New York, NY 10028","$2,250"
"15 W 103rd St New York, NY 10025","$4,695"
"561 Lenox Ave New York, NY 10030","$1,750"
"435 W 31st St New York, NY 10001","$4,600"
"839 West End Ave New York, NY 10025","$5,350"
"360 E 57th St New York, NY 10022","$7,900"
"1494 2nd Ave New York, NY 10075","$2,000"
"227 Grand St New York, NY 10013","$3,195"
"151 W 82nd St New York, NY 10024","$4,500"
"354 Cathedral Pkwy New York, NY 10025","$1,425"
"400 W 20th St New York, NY 10011","$1,825"
"400 W 20th St New York, NY 10011","$2,375"
"915 West End Ave New York, NY 10025","$5,995"
"401 W 56th St New York, NY 10019","$4,400"
"1889 Lexington Ave New York, NY 10035","$1,500"
"25 E 77th St New York, NY 10075","$65,000"
"214 E 9th St New York, NY 10003","$4,300"
"20 River Terrace New York, NY 10282","$6,800"
"227 E 29th St New York, NY 10016","$6,400"
"336 E 5th St New York, NY 10003","$2,800"
"67 E 11th St New York, NY 10003","$3,700"
"225 Bennett Ave New York, NY 10040","$1,795"
"240 E 46th St New York, NY 10017","$3,500"
"341 E 117th St New York, NY 10035","$6,000"
"189 Orchard St New York, NY 10002","$12,000"
"155 W 68th St New York, NY 10023","$3,450"
"370 Central Park West New York, NY 10025","$3,300"
"229 W 105th St New York, NY 10025","$4,400"
"166 E 7th St New York, NY 10009","$6,000"
"340 E 74th St New York, NY 10021","$4,150"
"135 W 70th St New York, NY 10023","$7,950"
"206 W 96th St New York, NY 10025","$3,100"
"85 W Broadway New York, NY 10007","$13,500"
"316 W 11th St New York, NY 10014","$3,700"
"619 E 5th St New York, NY 10009","$2,495"
"621 W 171st St New York, NY 10032","$2,995"
"107 E 88th St New York, NY 10128","$2,900"
"20 E 66th St New York, NY 10065","$8,950"
"320 Lexington Ave New York, NY 10016","$2,350"
"30 Riverside Blvd New York, NY 10069","$13,000"
"661 Washington St New York, NY 10014","$9,230"
"1399 Park Ave New York, NY 10029","$2,650"
"328 E 9th St New York, NY 10003","$3,750"
"17 Gay St New York, NY 10014","$4,800"
"505 Greenwich St New York, NY 10013","$9,500"
"35 Hudson Yards New York, NY 10001","$26,500"
"517 W 134th St New York, NY 10031","$2,500"
"240 W 15th St New York, NY 10011","$3,595"
"171 Chrystie St New York, NY 10002","$11,000"
"420 E 54th St New York, NY 10022","$8,150"
"70 W 11th St New York, NY 10011","$8,895"
"415 Main St New York, NY 10044","$5,250"
"35 Hudson Yards New York, NY 10001","$19,950"
"1 Central Park S New York, NY 10023","$12,500"
"16 Magaw Pl New York, NY 10033","$2,100"
"200 Rector Pl New York, NY 10280","$4,250"
"1270 5th Ave New York, NY 10029","$2,995"
"340 E 64th St New York, NY 10065","$13,950"
"30 W 18th St New York, NY 10011","$6,750"
"8 W 9th St New York, NY 10011","$6,300"
