address,price
"15645 N 35th Ave, Phoenix, AZ 85053","$1,300 - 1,800"
"600 N 53rd St, Phoenix, AZ 85008","$2,350 - 3,050"
"3851 N 28th St, Phoenix, AZ 85016","$1,449 - 1,709"
"2645 E Cactus Rd, Phoenix, AZ 85032","$1,045 - 1,445"
"929 E Bethany Home Rd, Phoenix, AZ 85014","$1,295 - 2,095"
"3161 W Cheryl Dr, Phoenix, AZ 85051","$1,089 - 1,465"
"4221 W Dunlap Ave, Phoenix, AZ 85051","$1,325 - 1,485"
"3425 W Deer Valley Dr, Phoenix, AZ 85027","$2,565 - 3,720"
"3130 N 7th Ave, Phoenix, AZ 85013","$1,155 - 1,255"
"1829 E Morten Ave, Phoenix, AZ 85020","$1,025 - 1,825"
"5245 E Thomas Rd, Phoenix, AZ 85018","$1,395 - 1,800"
"17950 N 68th St, Phoenix, AZ 85054","$1,625 - 2,250"
"3117 N 7th Ave, Phoenix, AZ 85013","$1,125 - 1,299"
"7611 S 36th St, Phoenix, AZ 85042","$1,576 - 1,759"
"6060 N 7th St, Phoenix, AZ 85014","$1,150 - 1,425"
"3601 E McDowell Rd, Phoenix, AZ 85008","$1,033 - 2,498"
"7045 N 7th St, Phoenix, AZ 85020","$1,099 - 1,560"
"3434 E McDowell Rd, Phoenix, AZ 85008","$1,099 - 1,424"
"1501-1527 E Oak St, Phoenix, AZ 85006","$1,500"
"17840 N Black Canyon Hwy, Phoenix, AZ 85053","$1,099 - 1,595"
"5401 E Thomas Rd, Phoenix, AZ 85018","$1,155 - 1,738"
"4903 W Thomas Rd, Phoenix, AZ 85031","$850 - 1,550"
"15301 57th Ave, Glendale, AZ 85306","$1,600 - 2,279"
"4545 W Beardsley Rd, Glendale, AZ 85308","$1,537 - 3,264"
"5150 W Eugie Ave, Glendale, AZ 85304","$1,152 - 2,117"
"7340 E Legacy Blvd, Scottsdale, AZ 85255","$1,810 - 4,485"
"5020 W Thunderbird Rd, Glendale, AZ 85306","$1,400 - 1,700"
"16630 N 43rd Ave, Glendale, AZ 85306","$1,275 - 2,095"
"1923 N 70th St, Scottsdale, AZ 85257","$1,289 - 2,836"
"4441 W Bethany Home Rd, Glendale, AZ 85301","$935 - 1,480"
"4502 E Indian School Rd, Phoenix, AZ 85018","$1,654 - 4,645"
"3550 E Campbell Ave, Phoenix, AZ 85018","$1,515 - 2,825"
"4304 E Campbell Ave, Phoenix, AZ 85018","$2,119 - 5,601"
"4114 N 28th St, Phoenix, AZ 85016","$1,574 - 2,565"
"7205 W McDowell Rd, Phoenix, AZ 85035","$1,610 - 2,540"
"5421 W Indian School Rd, Phoenix, AZ 85031","$1,454 - 2,453"
"3535 W Tierra Buena Ln, Phoenix, AZ 85053","$1,350 - 1,575"
"1301 E Mountain View Rd, Phoenix, AZ 85020","$1,470 - 1,515"
"4025 N 40th St, Phoenix, AZ 85018","$1,250 - 3,100"
"3833 N 30th St, Phoenix, AZ 85016","$1,668"
"825 W Osborn Rd, Phoenix, AZ 85013","$1,285 - 1,800"
"17440 N Tatum Blvd, Phoenix, AZ 85032","$1,487 - 2,648"
"888 E Clinton St, Phoenix, AZ 85020","$1,409 - 5,655"
"3040 E Shea Blvd, Phoenix, AZ 85028","$1,250 - 1,680"
"21150 N Tatum Blvd, Phoenix, AZ 85050","$1,599 - 2,125"
"16802 N 31st St, Phoenix, AZ 85032","$1,625"
"35035 N North Valley Pkwy, Phoenix, AZ 85086","$1,950 - 2,350"
"1905 W Pinnacle Peak Rd, Phoenix, AZ 85027","$1,700 - 2,250"
"2001 W Union Hills Dr, Phoenix, AZ 85027","$1,159 - 1,584"
"9000 W Indian School Rd, Phoenix, AZ 85037","$1,499 - 2,300"
"19635 N Cave Creek Rd, Phoenix, AZ 85024","$1,335 - 3,768"
"20401 N 19th Ave, Phoenix, AZ 85027","$1,247 - 1,642"
"15801 S 48th St, Phoenix, AZ 85048","$1,362 - 2,571"
"2155 E Liberty Ln, Phoenix, AZ 85048","$1,477 - 3,453"
"24025 23rd Ave, Phoenix, AZ 85085","$1,436 - 4,362"
"1350 E Northern Ave, Phoenix, AZ 85020","$1,275 - 1,755"
"15449 N 25th Ave, Phoenix, AZ 85023","$1,345 - 2,256"
"4602 E Paradise Village Pky N, Phoenix, AZ 85032","$1,399 - 1,892"
"14602 N 19th Ave, Phoenix, AZ 85023","$1,435 - 1,485"
"14435 S 48th St, Phoenix, AZ 85044","$1,500 - 2,452"
"1212 E Bethany Home Rd, Phoenix, AZ 85014","$1,325 - 2,114"
"7810 N 14th Pl, Phoenix, AZ 85020","$1,877 - 2,657"
"16025 S 50th St, Phoenix, AZ 85048","$1,600 - 2,817"
"930 W Indian School Rd, Phoenix, AZ 85013","$1,350 - 1,550"
"4127 E Indian School Rd, Phoenix, AZ 85018","$1,225 - 2,050"
"10801 N 32nd St, Phoenix, AZ 85028","$1,509 - 1,518"
"4410 N 99th Ave, Phoenix, AZ 85037","$1,398 - 2,541"
"909 W Colter St, Phoenix, AZ 85013","$1,060 - 2,705"
"2140 W Thunderbird Rd, Phoenix, AZ 85023","$1,050 - 1,750"
"1100 E Osborn Rd, Phoenix, AZ 85014","$1,460 - 2,567"
"6131 N 16th St, Phoenix, AZ 85016","$1,250 - 1,800"
"2501 W Ocotillo Rd, Phoenix, AZ 85017","$1,225 - 1,250"
"815 E Bethany Home Rd, Phoenix, AZ 85014","$1,025 - 1,980"
"1540 E Burgess Ln, Phoenix, AZ 85042","$2,690 - 2,990"
"4802 N 12th St, Phoenix, AZ 85014","$1,150 - 2,160"
"6405 W Mcdowell Rd, Phoenix, AZ 85035","$1,355 - 1,585"
"821 N 4th Ave, Phoenix, AZ 85003","$1,495"
"4040 W Peoria Ave, Phoenix, AZ 85029","$1,150 - 1,350"
"2627 N 45th Ave, Phoenix, AZ 85035","$1,155 - 2,345"
"14020 N Black Canyon Hwy, Phoenix, AZ 85053","$1,200 - 1,650"
"4620 W McDowell Rd, Phoenix, AZ 85035","$1,369 - 1,611"
"9605 S 48th St, Phoenix, AZ 85044","$1,225 - 1,745"
"3815 N 16th St, Phoenix, AZ 85016","$1,100 - 1,650"
"17031 N 11th Ave, Phoenix, AZ 85023","$1,080 - 1,935"
